State,Title,Ideology,Total
Alabama,17,7,23
Alaska,4,4,4
Arizona,21,9,22
Arkansas,11,8,12
California,61,12,75
Colorado,20,11,21
Connecticut,6,4,6
Delaware,2,2,2
District of Columbia,26,6,26
Florida,47,13,66
Georgia,34,12,40
Hawaii,1,1,1
Idaho,12,8,12
Illinois,31,10,35
Indiana,28,10,30
Iowa,4,4,4
Kansas,4,4,4
Kentucky,10,5,11
Louisiana,9,6,13
Maine,3,3,3
Maryland,19,9,19
Massachusetts,9,5,10
Michigan,27,12,29
Minnesota,12,9,12
Mississippi,13,5,15
Missouri,15,9,18
Montana,6,3,8
Nebraska,9,5,9
Nevada,9,5,9
New Hampshire,9,4,9
New Jersey,12,5,17
New Mexico,1,1,1
New York,42,11,48
North Carolina,27,9,32
North Dakota,2,2,2
Ohio,25,8,31
Oklahoma,8,4,10
Oregon,18,9,18
Pennsylvania,32,12,36
Rhode Island,3,2,3
South Carolina,12,7,14
South Dakota,7,4,7
Tennessee,31,9,37
Texas,45,15,66
Utah,3,2,3
Vermont,2,2,2
Virginia,35,12,37
Washington,25,10,26
West Virginia,4,3,4
Wisconsin,11,6,11
Wyoming,1,1,1
