state,ideology,title
Alabama,6,23
Alaska,2,4
Arizona,7,20
Arkansas,9,14
California,12,83
Colorado,9,22
Connecticut,5,6
Delaware,2,2
District of Columbia,7,27
Florida,11,75
Georgia,11,41
Hawaii,3,5
Idaho,6,10
Illinois,9,31
Indiana,9,24
Iowa,3,3
Kansas,4,4
Kentucky,7,13
Louisiana,8,21
Maine,3,5
Maryland,9,21
Massachusetts,6,14
Michigan,10,31
Minnesota,7,12
Mississippi,5,13
Missouri,8,24
Montana,2,7
Nebraska,6,8
Nevada,4,10
New Hampshire,5,10
New Jersey,6,18
New York,11,47
North Carolina,10,40
North Dakota,3,3
Ohio,11,36
Oklahoma,4,9
Oregon,7,15
Pennsylvania,11,36
Rhode Island,2,2
South Carolina,8,17
South Dakota,4,7
Tennessee,9,36
Texas,14,73
Utah,3,9
Vermont,1,1
Virginia,11,39
Washington,10,28
West Virginia,4,5
Wisconsin,7,15
Wyoming,1,1
