OBJECTID,State,Ideology,FREQUENCY,COUNT_Ideology
1,Alabama,Anti-Immigrant,1,1
2,Alabama,Black Nationalist,5,5
3,Alabama,Ku Klux Klan,11,11
4,Alabama,Neo-Confederate,5,5
5,Alabama,Neo-Nazi,3,3
6,Alabama,White Nationalist,2,2
7,Arizona,Anti-Immigrant,2,2
8,Arizona,Anti-LGBT,4,4
9,Arizona,Anti-Muslim,3,3
10,Arizona,Black Nationalist,2,2
11,Arizona,General Hate,1,1
12,Arizona,Neo-Nazi,2,2
13,Arizona,Racist Skinhead,1,1
14,Arizona,White Nationalist,3,3
15,Arkansas,Anti-Muslim,1,1
16,Arkansas,Black Nationalist,1,1
17,Arkansas,Christian Identity,3,3
18,Arkansas,General Hate,3,3
19,Arkansas,Hate Music,1,1
20,Arkansas,Ku Klux Klan,4,4
21,Arkansas,Neo-Confederate,2,2
22,Arkansas,Racist Skinhead,1,1
23,California,Anti-Immigrant,2,2
24,California,Anti-LGBT,7,7
25,California,Anti-Muslim,10,10
26,California,Black Nationalist,15,15
27,California,General Hate,13,13
28,California,Hate Music,1,1
29,California,Holocaust Denial,3,3
30,California,Ku Klux Klan,4,4
31,California,Neo-Nazi,7,7
32,California,Neo-Volkisch,1,1
33,California,Racist Skinhead,8,8
34,California,Radical Traditional Catholicism,2,2
35,California,White Nationalist,6,6
36,Colorado,Anti-Immigrant,2,2
37,Colorado,Anti-LGBT,3,3
38,Colorado,Anti-Muslim,2,2
39,Colorado,Black Nationalist,2,2
40,Colorado,Christian Identity,1,1
41,Colorado,General Hate,1,1
42,Colorado,Hate Music,1,1
43,Colorado,Neo-Nazi,2,2
44,Colorado,Neo-Volkisch,1,1
45,Colorado,Racist Skinhead,1,1
46,Connecticut,Anti-Muslim,2,2
47,Connecticut,Black Nationalist,1,1
48,Connecticut,Neo-Nazi,1,1
49,Connecticut,White Nationalist,1,1
50,Delaware,Anti-Muslim,1,1
51,Delaware,Black Nationalist,1,1
52,Delaware,Ku Klux Klan,1,1
53,Delaware,Neo-Nazi,1,1
54,District of Columbia,Anti-Immigrant,3,3
55,District of Columbia,Anti-LGBT,3,3
56,District of Columbia,Anti-Muslim,4,4
57,District of Columbia,Black Nationalist,6,6
58,District of Columbia,General Hate,3,3
59,District of Columbia,White Nationalist,2,2
60,Florida,Anti-Immigrant,1,1
61,Florida,Anti-LGBT,3,3
62,Florida,Anti-Muslim,7,7
63,Florida,Black Nationalist,22,22
64,Florida,General Hate,3,3
65,Florida,Holocaust Denial,1,1
66,Florida,Ku Klux Klan,8,8
67,Florida,Neo-Confederate,4,4
68,Florida,Neo-Nazi,4,4
69,Florida,Neo-Volkisch,1,1
70,Florida,Racist Skinhead,5,5
71,Florida,White Nationalist,4,4
72,Georgia,Anti-LGBT,2,2
73,Georgia,Anti-Muslim,1,1
74,Georgia,Black Nationalist,13,13
75,Georgia,Christian Identity,1,1
76,Georgia,Ku Klux Klan,6,6
77,Georgia,Neo-Confederate,2,2
78,Georgia,Neo-Nazi,2,2
79,Georgia,Racist Skinhead,3,3
80,Georgia,White Nationalist,2,2
81,Idaho,Anti-Muslim,5,5
82,Idaho,Christian Identity,1,1
83,Idaho,General Hate,1,1
84,Idaho,Holocaust Denial,1,1
85,Idaho,Ku Klux Klan,1,1
86,Idaho,Neo-Nazi,1,1
87,Idaho,Racist Skinhead,2,2
