,start_end,actor_one,actor_two,area,articles,keywords,length,tone,a1_0,a1_1,a1_2,a1_3,a1_4,a2_0,a2_1,a2_2,a2_3,a2_4,k_0,k_1,k_2,k_3,k_4,start,end
0,20160104_20160108,"['TEXAS', 'POLICE OFFICER', 'ASSOCIATED PRESS', 'MARCHE', 'AFRICA']","['AFRICA', 'POPULATION', 'CITIZEN', 'WRITER', 'AMERICAN']",1715.0,2534,"['black', 'white', 'matter', 'lives', 'oregon']",5,-5.0,TEXAS,POLICE OFFICER,ASSOCIATED PRESS,MARCHE,AFRICA,AFRICA,POPULATION,CITIZEN,WRITER,AMERICAN,black,white,matter,lives,oregon,20160104,20160108
1,20160117_20160306,"['MAGAZINE', 'SUPREME COURT', 'POPULATION', 'CALIFORNIA', 'PRESIDENT']","['COMMANDER', 'FIREFIGHTER', 'POPULATION', 'NEW HAMPSHIRE', 'CITIZEN']",4484.0,32365,"['black', 'white', 'clinton', 'sanders', 'voters']",50,-3.0,MAGAZINE,SUPREME COURT,POPULATION,CALIFORNIA,PRESIDENT,COMMANDER,FIREFIGHTER,POPULATION,NEW HAMPSHIRE,CITIZEN,black,white,clinton,sanders,voters,20160117,20160306
2,20160407_20160409,"['POLICE OFFICER', 'SUPREME COURT', 'SECRETARY OF STATE', 'AFRICA', 'DEMONSTRATOR']","['PROTESTER', 'CLEVELAND', 'AFAR', 'ACTIVIST', 'PHILADELPHIA']",4352.0,2467,"['black', 'clinton', 'lives', 'bill', 'matter']",3,-5.0,POLICE OFFICER,SUPREME COURT,SECRETARY OF STATE,AFRICA,DEMONSTRATOR,PROTESTER,CLEVELAND,AFAR,ACTIVIST,PHILADELPHIA,black,clinton,lives,bill,matter,20160407,20160409
3,20160418_20160423,"['SPOKESMAN', 'AFRICA', 'POLICE COMMISSIONER', 'WRITER', 'AMERICAN']","['AFRICA', 'POPULATION', 'CITIZEN', 'ROBBER', 'CALIFORNIA']",2355.0,2301,"['black', 'white', 'man', 'clinton', 'lives']",6,-4.0,SPOKESMAN,AFRICA,POLICE COMMISSIONER,WRITER,AMERICAN,AFRICA,POPULATION,CITIZEN,ROBBER,CALIFORNIA,black,white,man,clinton,lives,20160418,20160423
4,20160502_20160505,"['AFRICA', 'POLITICIAN', 'PROFESSOR', 'AMERICAN', 'PRESIDENT']","['WORKER', 'AFRICA', 'PROFESSOR', 'AMERICAN', 'COMPANY']",1819.0,1920,"['black', 'white', 'man', 'race', 'university']",4,-4.0,AFRICA,POLITICIAN,PROFESSOR,AMERICAN,PRESIDENT,WORKER,AFRICA,PROFESSOR,AMERICAN,COMPANY,black,white,man,race,university,20160502,20160505
5,20160506_20160508,"['TEXAS', 'AFRICA', 'PRESIDENT', 'UNIVERSITY', 'STUDENT']","['TEXAS', 'MILITANT', 'AFRICA', 'CITIZEN', 'AMERICAN']",623.0,2903,"['black', 'white', 'university', 'racial', 'obama']",3,-3.0,TEXAS,AFRICA,PRESIDENT,UNIVERSITY,STUDENT,TEXAS,MILITANT,AFRICA,CITIZEN,AMERICAN,black,white,university,racial,obama,20160506,20160508
6,20160531_20160605,"['POLICE OFFICER', 'WORKER', 'AFRICA', 'EGYPTIAN', 'POPULATION']","['ASSOCIATED PRESS', 'POLICE OFFICER', 'SPOKESMAN', 'AFRICA', 'CALIFORNIA']",1922.0,4238,"['black', 'white', 'students', 'state', 'school']",6,-4.0,POLICE OFFICER,WORKER,AFRICA,EGYPTIAN,POPULATION,ASSOCIATED PRESS,POLICE OFFICER,SPOKESMAN,AFRICA,CALIFORNIA,black,white,students,state,school,20160531,20160605
7,20160707_20160710,"['POLICE OFFICER', 'PROTESTER', 'ACTIVIST', 'AFRICA', 'CITIZEN']","['POLICE OFFICER', 'PROTESTER', 'ACTIVIST', 'AFRICA', 'DEMONSTRATOR']",1991.0,50297,"['black', 'officers', 'white', 'shooting', 'dallas']",4,-6.0,POLICE OFFICER,PROTESTER,ACTIVIST,AFRICA,CITIZEN,POLICE OFFICER,PROTESTER,ACTIVIST,AFRICA,DEMONSTRATOR,black,officers,white,shooting,dallas,20160707,20160710
8,20160726_20160731,"['ASSOCIATED PRESS', 'POLICE OFFICER', 'TEXAS', 'GUNMAN', 'AFRICA']","['TEXAS', 'POLICE OFFICER', 'AFRICA', 'CITIZEN', 'HUNTER']",2909.0,8952,"['black', 'white', 'lives', 'matter', 'officers']",6,-4.0,ASSOCIATED PRESS,POLICE OFFICER,TEXAS,GUNMAN,AFRICA,TEXAS,POLICE OFFICER,AFRICA,CITIZEN,HUNTER,black,white,lives,matter,officers,20160726,20160731
9,20160808_20160813,"['POLICE OFFICER', 'SAN FRANCISCO', 'AFRICA', 'POPULATION', 'AMERICAN']","['TROOPER', 'POLICE OFFICER', 'WORKER', 'AFRICA', 'GREENVILLE']",842.0,7173,"['black', 'lives', 'white', 'matter', 'officers']",6,-4.0,POLICE OFFICER,SAN FRANCISCO,AFRICA,POPULATION,AMERICAN,TROOPER,POLICE OFFICER,WORKER,AFRICA,GREENVILLE,black,lives,white,matter,officers,20160808,20160813
10,20160814_20160816,"['POLICE OFFICER', 'GUNMAN', 'AFRICA', 'PRESIDENT', 'UNITED STATES']","['POLICE OFFICER', 'AFRICA', 'AMERICAN', 'MISSOURI', 'FLORIDA']",1446.0,6731,"['black', 'milwaukee', 'shooting', 'officer', 'violence']",3,-6.0,POLICE OFFICER,GUNMAN,AFRICA,PRESIDENT,UNITED STATES,POLICE OFFICER,AFRICA,AMERICAN,MISSOURI,FLORIDA,black,milwaukee,shooting,officer,violence,20160814,20160816
11,20160917_20161007,"['TEXAS', 'POLICE OFFICER', 'ASSOCIATED PRESS', 'BANK', 'SECRETARY OF STATE']","['TEXAS', 'POLICE OFFICER', 'BANK', 'SUPREME COURT', 'PENNSYLVANIA']",2416.0,40841,"['black', 'shooting', 'man', 'shot', 'white']",21,-4.0,TEXAS,POLICE OFFICER,ASSOCIATED PRESS,BANK,SECRETARY OF STATE,TEXAS,POLICE OFFICER,BANK,SUPREME COURT,PENNSYLVANIA,black,shooting,man,shot,white,20160917,20161007
12,20161010_20161105,"['POPULATION', 'EMPLOYER', 'HUNTER', 'CITIZEN', 'CALIFORNIA']","['SUPREME COURT', 'CITIZEN', 'POPULATION', 'SYRIA', 'CALIFORNIA']",2871.0,15881,"['black', 'white', 'lives', 'voters', 'man']",27,-4.0,POPULATION,EMPLOYER,HUNTER,CITIZEN,CALIFORNIA,SUPREME COURT,CITIZEN,POPULATION,SYRIA,CALIFORNIA,black,white,lives,voters,man,20161010,20161105
13,20161227_20161231,"['MINIST', 'POLICE OFFICER', 'SPOKESMAN', 'AFRICA', 'CITIZEN']","['POLICE OFFICER', 'AFRICA', 'SMYRNA', 'CALIFORNIA', 'SYRIA']",790.0,1669,"['black', 'white', 'officers', 'woman', 'lives']",5,-4.0,MINIST,POLICE OFFICER,SPOKESMAN,AFRICA,CITIZEN,POLICE OFFICER,AFRICA,SMYRNA,CALIFORNIA,SYRIA,black,white,officers,woman,lives,20161227,20161231
14,20170123_20170128,"['TEXAS', 'AFRICA', 'CALIFORNIA', 'SALT LAKE CITY', 'AMERICAN']","['TEXAS', 'MARCHE', 'NEWS ORGANIZATION', 'MAGAZINE', 'CALIFORNIA']",1193.0,4837,"['black', 'white', 'students', 'women', 'womens']",6,-4.0,TEXAS,AFRICA,CALIFORNIA,SALT LAKE CITY,AMERICAN,TEXAS,MARCHE,NEWS ORGANIZATION,MAGAZINE,CALIFORNIA,black,white,students,women,womens,20170123,20170128
15,20170213_20170218,"['TEXAS', 'AFRICA', 'CHRISTIAN', 'AMERICAN', 'PRESIDENT']","['NEBRASKA', 'WORKER', 'AFRICA', 'MAGISTRATE', 'ROBBER']",971.0,4160,"['black', 'white', 'history', 'man', 'city']",6,-3.0,TEXAS,AFRICA,CHRISTIAN,AMERICAN,PRESIDENT,NEBRASKA,WORKER,AFRICA,MAGISTRATE,ROBBER,black,white,history,man,city,20170213,20170218
16,20170313_20170318,"['TROOPER', 'AFRICA', 'POLICEMEN', 'AMERICAN', 'PRESIDENT']","['POLICE OFFICER', 'BANK', 'AFRICA', 'PUERTO RICO', 'ENVOY']",2779.0,1015,"['black', 'white', 'wearing', 'man', 'community']",6,-4.0,TROOPER,AFRICA,POLICEMEN,AMERICAN,PRESIDENT,POLICE OFFICER,BANK,AFRICA,PUERTO RICO,ENVOY,black,white,wearing,man,community,20170313,20170318
17,20170418_20170422,"['TROOPER', 'TEXAS', 'POLICE OFFICER', 'GUNMAN', 'AFRICA']","['SPOKESMAN', 'AFRICA', 'ITALY', 'NEW YORK STATE', 'COLUMBUS']",1446.0,1793,"['black', 'white', 'muhammad', 'man', 'suspect']",5,-4.0,TROOPER,TEXAS,POLICE OFFICER,GUNMAN,AFRICA,SPOKESMAN,AFRICA,ITALY,NEW YORK STATE,COLUMBUS,black,white,muhammad,man,suspect,20170418,20170422
18,20170423_20171022,"['SUPREME COURT', 'FIREFIGHTER', 'MAGISTRATE', 'COLUMBUS', 'YUKON']","['SUPREME COURT', 'FIREFIGHTER', 'PUERTO RICO', 'MAGISTRATE', 'COLUMBUS']",3214.0,90511,"['black', 'white', 'man', 'officer', 'state']",183,-4.0,SUPREME COURT,FIREFIGHTER,MAGISTRATE,COLUMBUS,YUKON,SUPREME COURT,FIREFIGHTER,PUERTO RICO,MAGISTRATE,COLUMBUS,black,white,man,officer,state,20170423,20171022
19,20171024_20171026,"['AFRICA', 'LUTHERAN', 'COLUMBUS', 'AMERICAN', 'FLORIDA']","['SAN FRANCISCO', 'AFRICA', 'ROBBER', 'AMERICAN', 'COMPANY']",2307.0,1282,"['black', 'white', 'man', 'airlines', 'naacp']",3,-5.0,AFRICA,LUTHERAN,COLUMBUS,AMERICAN,FLORIDA,SAN FRANCISCO,AFRICA,ROBBER,AMERICAN,COMPANY,black,white,man,airlines,naacp,20171024,20171026
20,20171031_20171105,"['ASSOCIATED PRESS', 'TEXAS', 'SUPREME COURT', 'WORKER', 'AFRICA']","['TEXAS', 'WORKER', 'FIREFIGHTER', 'AFRICA', 'POPULATION']",1305.0,2076,"['black', 'white', 'man', 'civil', 'told']",6,-5.0,ASSOCIATED PRESS,TEXAS,SUPREME COURT,WORKER,AFRICA,TEXAS,WORKER,FIREFIGHTER,AFRICA,POPULATION,black,white,man,civil,told,20171031,20171105
21,20171106_20171111,"['GUNMAN', 'AFRICA', 'LEGISLATURE', 'AMERICAN', 'PRESIDENT']","['TEXAS', 'MAGAZINE', 'BANK', 'TROOPER', 'AFRICA']",2349.0,2176,"['black', 'man', 'white', 'murder', 'weinstein']",6,-4.0,GUNMAN,AFRICA,LEGISLATURE,AMERICAN,PRESIDENT,TEXAS,MAGAZINE,BANK,TROOPER,AFRICA,black,man,white,murder,weinstein,20171106,20171111
22,20171113_20171118,"['POLICE OFFICER', 'LAWRENCE', 'AFRICA', 'CHRISTIAN', 'AMERICAN']","['COMMANDER', 'TROOPER', 'MAGAZINE', 'RELIGION', 'WORKER']",2528.0,2617,"['black', 'white', 'man', 'wearing', 'seen']",6,-4.0,POLICE OFFICER,LAWRENCE,AFRICA,CHRISTIAN,AMERICAN,COMMANDER,TROOPER,MAGAZINE,RELIGION,WORKER,black,white,man,wearing,seen,20171113,20171118
23,20171123_20171210,"['CITIZEN', 'CALIFORNIA', 'PRESIDENT', 'EGYPT', 'COMPANY']","['NEBRASKA', 'POPULATION', 'COLUMBUS', 'CALIFORNIA', 'PRESIDENT']",1995.0,9546,"['black', 'white', 'man', 'state', 'suspect']",18,-4.0,CITIZEN,CALIFORNIA,PRESIDENT,EGYPT,COMPANY,NEBRASKA,POPULATION,COLUMBUS,CALIFORNIA,PRESIDENT,black,white,man,state,suspect,20171123,20171210
24,20171226_20171229,"['POLICE OFFICER', 'SPOKESMAN', 'AFRICA', 'WRITER', 'KARACHI']","['POLICE OFFICER', 'AFRICA', 'CHRISTIAN', 'PROFESSOR', 'AMERICAN']",494.0,728,"['black', 'white', 'women', 'racial', 'wearing']",4,-4.0,POLICE OFFICER,SPOKESMAN,AFRICA,WRITER,KARACHI,POLICE OFFICER,AFRICA,CHRISTIAN,PROFESSOR,AMERICAN,black,white,women,racial,wearing,20171226,20171229
25,20171229_20180520,"['LAOS', 'MAGAZINE', 'MARCHE', 'BRUNEI', 'SUPREME COURT']","['STOCKHOLM', 'SUPREME COURT', 'FIREFIGHTER', 'COMPANY', 'SOVEREIGN']",3040.0,81799,"['black', 'white', 'man', 'school', 'students']",143,-4.0,LAOS,MAGAZINE,MARCHE,BRUNEI,SUPREME COURT,STOCKHOLM,SUPREME COURT,FIREFIGHTER,COMPANY,SOVEREIGN,black,white,man,school,students,20171229,20180520
26,20180522_20180527,"['ASSOCIATED PRESS', 'FIREFIGHTER', 'AFRICA', 'LAWYER', 'BOSS']","['ASSOCIATED PRESS', 'MINIST', 'WORKER', 'AFRICA', 'NANNY']",1488.0,2435,"['black', 'white', 'man', 'woman', 'men']",6,-3.0,ASSOCIATED PRESS,FIREFIGHTER,AFRICA,LAWYER,BOSS,ASSOCIATED PRESS,MINIST,WORKER,AFRICA,NANNY,black,white,man,woman,men,20180522,20180527
27,20180528_20180602,"['AFRICA', 'EMPLOYER', 'SALT LAKE CITY', 'AMERICAN', 'PRESIDENT']","['MINIST', 'TEXAS', 'WORKER', 'AFRICA', 'CALIFORNIA']",809.0,3128,"['black', 'white', 'starbucks', 'training', 'man']",6,-4.0,AFRICA,EMPLOYER,SALT LAKE CITY,AMERICAN,PRESIDENT,MINIST,TEXAS,WORKER,AFRICA,CALIFORNIA,black,white,starbucks,training,man,20180528,20180602
28,20180626_20180701,"['POLICE OFFICER', 'SUPREME COURT', 'AFRICA', 'DEMONSTRATOR', 'LAWYER']","['TEXAS', 'POLICE OFFICER', 'NASHVILLE', 'ASSOCIATED PRESS', 'AFRICA']",1456.0,4126,"['black', 'man', 'officer', 'white', 'shooting']",6,-4.0,POLICE OFFICER,SUPREME COURT,AFRICA,DEMONSTRATOR,LAWYER,TEXAS,POLICE OFFICER,NASHVILLE,ASSOCIATED PRESS,AFRICA,black,man,officer,white,shooting,20180626,20180701
29,20180715_20180812,"['COMMANDER', 'SUPREME COURT', 'CITIZEN', 'POPULATION', 'HUNTER']","['POPULATION', 'PRESIDENT', 'COMPANY', 'WASHINGTON', 'CATHOLIC']",2909.0,11440,"['black', 'white', 'man', 'woman', 'officers']",29,-4.0,COMMANDER,SUPREME COURT,CITIZEN,POPULATION,HUNTER,POPULATION,PRESIDENT,COMPANY,WASHINGTON,CATHOLIC,black,white,man,woman,officers,20180715,20180812
30,20180813_20180816,"['POLICE OFFICER', 'SECRETARY OF STATE', 'AFRICA', 'AMERICAN', 'PRESIDENT']","['AFRICA', 'AMERICAN', 'PRESIDENT', 'WASHINGTON', 'NORTH AMERICA']",763.0,3457,"['black', 'white', 'house', 'shooting', 'state']",4,-4.0,POLICE OFFICER,SECRETARY OF STATE,AFRICA,AMERICAN,PRESIDENT,AFRICA,AMERICAN,PRESIDENT,WASHINGTON,NORTH AMERICA,black,white,house,shooting,state,20180813,20180816
31,20180820_20180825,"['TEXAS', 'PRESBYTERIAN', 'AFRICA', 'LAWYER', 'AUSTRALIAN']","['SECRETARY OF STATE', 'CITIZEN', 'EMPLOYER', 'LAWYER', 'AMERICAN']",1422.0,2886,"['black', 'white', 'man', 'county', 'georgia']",6,-4.0,TEXAS,PRESBYTERIAN,AFRICA,LAWYER,AUSTRALIAN,SECRETARY OF STATE,CITIZEN,EMPLOYER,LAWYER,AMERICAN,black,white,man,county,georgia,20180820,20180825
32,20180827_20180902,"['TEXAS', 'POLICE OFFICER', 'AFRICA', 'HEALTH DEPARTMENT', 'CENTER FOR REPRODUCTIVE RIGHTS']","['TEXAS', 'POLICE OFFICER', 'SAN FRANCISCO', 'AFRICA', 'HEALTH OFFICIAL']",1459.0,3711,"['black', 'white', 'oliver', 'officer', 'voters']",7,-4.0,TEXAS,POLICE OFFICER,AFRICA,HEALTH DEPARTMENT,CENTER FOR REPRODUCTIVE RIGHTS,TEXAS,POLICE OFFICER,SAN FRANCISCO,AFRICA,HEALTH OFFICIAL,black,white,oliver,officer,voters,20180827,20180902
33,20180925_20180930,"['POLICE OFFICER', 'PENNSYLVANIA', 'AFRICA', 'CITIZEN', 'ROBBER']","['TEXAS', 'SUPREME COURT', 'FIREFIGHTER', 'WORKER', 'AFRICA']",634.0,3470,"['black', 'white', 'man', 'york', 'kavanaugh']",6,-4.0,POLICE OFFICER,PENNSYLVANIA,AFRICA,CITIZEN,ROBBER,TEXAS,SUPREME COURT,FIREFIGHTER,WORKER,AFRICA,black,white,man,york,kavanaugh,20180925,20180930
34,20181001_20181007,"['POLICE OFFICER', 'AFRICA', 'LAWYER', 'AUSTRALIAN', 'CALIFORNIA']","['POLICE OFFICER', 'SAN FRANCISCO', 'SPOKESMAN', 'WORKER', 'AFRICA']",1408.0,4197,"['black', 'white', 'chicago', 'dyke', 'van']",7,-5.0,POLICE OFFICER,AFRICA,LAWYER,AUSTRALIAN,CALIFORNIA,POLICE OFFICER,SAN FRANCISCO,SPOKESMAN,WORKER,AFRICA,black,white,chicago,dyke,van,20181001,20181007
35,20181016_20181018,"['POLICE OFFICER', 'AFRICA', 'PRESIDENT', 'COMPANY', 'UNIVERSITY']","['WORKER', 'AFRICA', 'AMERICAN', 'PRESIDENT', 'WASHINGTON']",729.0,2283,"['black', 'white', 'woman', 'man', 'state']",3,-4.0,POLICE OFFICER,AFRICA,PRESIDENT,COMPANY,UNIVERSITY,WORKER,AFRICA,AMERICAN,PRESIDENT,WASHINGTON,black,white,woman,man,state,20181016,20181018
36,20181023_20181027,"['AFRICA', 'CHRISTIAN', 'AMERICAN', 'PRESIDENT', 'FRESNO']","['GUNMAN', 'AFRICA', 'CITIZEN', 'NIGERIAN', 'BOSS']",860.0,4232,"['black', 'white', 'blackface', 'man', 'kelly']",5,-3.0,AFRICA,CHRISTIAN,AMERICAN,PRESIDENT,FRESNO,GUNMAN,AFRICA,CITIZEN,NIGERIAN,BOSS,black,white,blackface,man,kelly,20181023,20181027
37,20181227_20181229,"['POLICE OFFICER', 'WORKER', 'AFRICA', 'HUNTER', 'CHRISTIAN']","['ASSOCIATED PRESS', 'HAITIAN', 'POPULATION', 'LAWYER', 'COLUMBUS']",551.0,1374,"['black', 'white', 'hotel', 'man', 'massey']",3,-4.0,POLICE OFFICER,WORKER,AFRICA,HUNTER,CHRISTIAN,ASSOCIATED PRESS,HAITIAN,POPULATION,LAWYER,COLUMBUS,black,white,hotel,man,massey,20181227,20181229
