,start_end,actor_one,actor_two,area,articles,keywords,length,tone,a1_0,a1_1,a1_2,a1_3,a1_4,a2_0,a2_1,a2_2,a2_3,a2_4,k_0,k_1,k_2,k_3,k_4,start,end
0,20160109_20160116,"['RELIGION', 'WASHINGTON', 'PRESIDENT', 'LOUISIANA', 'CRIMINAL']","['MALE', 'WASHINGTON', 'GOVERNMENT', 'IRAN', 'SUICIDE BOMBER']",707.0,519,"['told', 'muslims', 'muslim', 'arrested', 'terrorist']",8,-5.0,RELIGION,WASHINGTON,PRESIDENT,LOUISIANA,CRIMINAL,MALE,WASHINGTON,GOVERNMENT,IRAN,SUICIDE BOMBER,told,muslims,muslim,arrested,terrorist,20160109,20160116
1,20160127_20160131,"['UTAH', 'PRESIDENT', 'MAYOR', 'UNIVERSITY', 'SECRETARY OF STATE']","['UTAH', 'SERVER', 'LAW ENFORCEMENT AGENCIES', 'SOUTH CAROLINA', 'CRIMINAL']",464.0,387,"['sexual', 'law', 'gay', 'state', 'victims']",5,-4.0,UTAH,PRESIDENT,MAYOR,UNIVERSITY,SECRETARY OF STATE,UTAH,SERVER,LAW ENFORCEMENT AGENCIES,SOUTH CAROLINA,CRIMINAL,sexual,law,gay,state,victims,20160127,20160131
2,20160222_20160225,"['JEWISH', 'MALE', 'COMPANY', 'ADVOCATE', 'RESIDENTS']","['PROTESTANT', 'WASHINGTON', 'GOVERNMENT', 'SOUTH CAROLINA', 'CRIMINAL']",541.0,828,"['told', 'black', 'students', 'man', 'bill']",4,-5.0,JEWISH,MALE,COMPANY,ADVOCATE,RESIDENTS,PROTESTANT,WASHINGTON,GOVERNMENT,SOUTH CAROLINA,CRIMINAL,told,black,students,man,bill,20160222,20160225
3,20160307_20160312,"['OKLAHOMA', 'REUTERS', 'SOUTH CAROLINA', 'TELEVISION', 'SPOKESMAN']","['JEWISH', 'COMPANY', 'RELIGION', 'MALE', 'NURSE']",652.0,1083,"['center', 'state', 'republican', 'islam', 'muslims']",6,-5.0,OKLAHOMA,REUTERS,SOUTH CAROLINA,TELEVISION,SPOKESMAN,JEWISH,COMPANY,RELIGION,MALE,NURSE,center,state,republican,islam,muslims,20160307,20160312
4,20160401_20160403,"['TROOPER', 'IMMIGRANT', 'GUNMAN', 'CHAD', 'SCHOOL']","['GUNMAN', 'LOS ANGELES', 'ARIZONA', 'EMPLOYEE', 'MASSACHUSETTS']",446.0,443,"['world', 'republican', 'cant', 'debate', 'fox']",3,-6.0,TROOPER,IMMIGRANT,GUNMAN,CHAD,SCHOOL,GUNMAN,LOS ANGELES,ARIZONA,EMPLOYEE,MASSACHUSETTS,world,republican,cant,debate,fox,20160401,20160403
5,20160418_20160420,"['CHAD', 'EMPLOYEE', 'SCHOOL', 'PRESIDENT', 'CONGRESSMAN']","['GUNMAN', 'SCHOOL', 'LOS ANGELES', 'UTAH', 'COMPANIES']",354.0,259,"['church', 'ad', 'chad', 'couple', 'letter']",3,-3.0,CHAD,EMPLOYEE,SCHOOL,PRESIDENT,CONGRESSMAN,GUNMAN,SCHOOL,LOS ANGELES,UTAH,COMPANIES,church,ad,chad,couple,letter,20160418,20160420
6,20160511_20160513,"['ECONOMIST', 'COMPANY', 'MALE', 'ADVOCATE', 'GOVERNMENT']","['MALE', 'RELIGION', 'MEMPHIS', 'BOSTON', 'INDIANA']",550.0,753,"['school', 'bill', 'harris', 'law', 'officer']",3,-4.0,ECONOMIST,COMPANY,MALE,ADVOCATE,GOVERNMENT,MALE,RELIGION,MEMPHIS,BOSTON,INDIANA,school,bill,harris,law,officer,20160511,20160513
7,20160523_20160529,"['COMPANY', 'MALE', 'PERPETRATOR', 'RELIGION', 'UTAH']","['RELIGION', 'ADVOCATE', 'WASHINGTON', 'PRESIDENTIAL CANDIDATE', 'ANTI DEFAMATION LEAGUE']",1031.0,3984,"['bill', 'lives', 'matter', 'blue', 'law']",7,-5.0,COMPANY,MALE,PERPETRATOR,RELIGION,UTAH,RELIGION,ADVOCATE,WASHINGTON,PRESIDENTIAL CANDIDATE,ANTI DEFAMATION LEAGUE,bill,lives,matter,blue,law,20160523,20160529
8,20160611_20160703,"['WASHINGTON', 'CRIMINAL', 'IMMIGRANT', 'HASSAN', 'NATIONAL SECURITY COUNCIL']","['COMPANY', 'WASHINGTON', 'MAGAZINE', 'GOLDMAN SACHS', 'BISHOP']",1988.0,5288,"['orlando', 'shooting', 'violence', 'attack', 'gay']",23,-5.0,WASHINGTON,CRIMINAL,IMMIGRANT,HASSAN,NATIONAL SECURITY COUNCIL,COMPANY,WASHINGTON,MAGAZINE,GOLDMAN SACHS,BISHOP,orlando,shooting,violence,attack,gay,20160611,20160703
9,20160704_20160714,"['FEDERAL COURT', 'COMPANY', 'CASTILE', 'LAWMAKER', 'WASHINGTON']","['POLAND', 'CASTILE', 'RELIGION', 'LAWMAKER', 'WASHINGTON']",1060.0,4627,"['officers', 'lives', 'black', 'dallas', 'white']",11,-6.0,FEDERAL COURT,COMPANY,CASTILE,LAWMAKER,WASHINGTON,POLAND,CASTILE,RELIGION,LAWMAKER,WASHINGTON,officers,lives,black,dallas,white,20160704,20160714
